Dataset, BARN, Big NN, BART, OLS
random, 12.226781676183275, 12.50972786491758, 56.78720963314934, 10.507053205893524
mpg, 3.468361910616706, 10.653211321249463, 3.4998614038547844, 3.460200880757041
wisconsin, 33.95727722000106, 43.302900792325104, 35.81198968672686, 51.66078804003715
fires, 25.124329276968627, 23.77725593951863, 101.6090426114165, 27.409778562849738
crimes, 0.13468540384085964, 0.23484189072997727, 0.15199868400147964, 0.1380752005442008
boston, 4.372819224758341, 5.484355392331506, 3.3921596716268536, 4.426001537287234
concrete, 8.64045994380242, 11.678409238768834, 6.455961327872279, 11.127245423884727
random, 12.326141548557024, 12.251856422770025, 38.370612281881165, 10.430912260803002
mpg, 3.0624644959695666, 82.94831662096954, 3.636114123483194, 2.9485335065701923
wisconsin, 32.71212307356408, 32.667360913990414, 38.19662571551284, 40.719743012024445
fires, 23.124660129032286, 21.601541310881743, 45.456192102662214, 24.175437773024264
crimes, 0.13701223505249283, 0.24064316996783086, 0.14479612264857222, 0.1406654177062959
boston, 5.1760483465789955, 5.756574132427252, 4.355712253642472, 5.073348918916319
concrete, 7.306242728888108, 8.783646312974795, 6.345140206576942, 10.20397560095327
random, 10.686555940121423, 11.31254444844716, 36.13426324772787, 9.703472035376
mpg, 3.119942234623466, 32.38195572342274, 3.6274849509148637, 2.7400558384276925
wisconsin, 33.86017408354651, 35.955727525297355, 35.0654319628092, 43.128826027196695
fires, 118.21952549830186, 118.39885842057254, 120.30872218410954, 118.56194823060942
crimes, 0.1321761570783467, 0.22988749093426764, 0.14768060164272068, 0.1357708198856423
boston, 5.070871716334476, 11.115965287952834, 4.5280413992684725, 4.971081553085772
concrete, 7.334028440800831, 38.42473525960068, 7.239826396229153, 10.969421368787101
random, 10.267810749134608, 11.721463686149892, 40.338541335458615, 9.719397885418065
mpg, 3.3243738785692165, 12.84614492779189, 3.9410991530179404, 3.2655472538684394
wisconsin, 31.558515434810584, 77.79401628434904, 34.57577344895066, 35.83942284845657
fires, 97.7304908581621, 98.23810802134516, 98.99083490115875, 98.07902432388049
crimes, 0.1460777116268771, 0.22505718739338168, 0.14941399520486773, 0.15008926681897838
boston, 5.2359387963097594, 5.8321202902829565, 4.711642053264021, 4.7319459650013
concrete, 6.935176520101414, 10.803304131167009, 6.668921734353356, 10.662647121353043
random, 11.008935263454841, 12.575214440983528, 54.615266616515775, 10.313684130392593
mpg, 4.082933374876481, 194.20328995264992, 3.9477543680540843, 3.591883273280345
wisconsin, 29.67459923346605, 42.32697774165507, 33.95873219371433, 35.20061049993798
fires, 28.995191665873428, 29.107027329971345, 33.28166627115577, 29.184266120628966
crimes, 0.13380210809550422, 0.13756755536047846, 0.140894921077799, 0.13601625480157842
boston, 4.2623044330345365, 11.514301229177294, 3.590959843318724, 4.131924054505006
concrete, 7.8348712491884225, 10.607963165293192, 6.533977271975133, 10.192165106728886
random, 10.996060341763531, 11.307056693893898, 33.52826686020559, 10.037539656912037
mpg, 3.4290026134888385, 208.01568479983965, 3.5407636913270775, 2.984792833672237
wisconsin, 34.34594563165257, 37.27240357856824, 39.580444130562555, 44.740275189702466
