Dataset, BARN, Big NN, BART, OLS
random, 179.14292287826538, 0.17333436012268066, 0.4992249011993408, 0.0011744499206542969
mpg, 28.906158924102783, 0.013341665267944336, 0.13832473754882812, 0.0009233951568603516
wisconsin, 37.143569231033325, 0.045609235763549805, 0.09809732437133789, 0.0013055801391601562
fires, 57.122729539871216, 0.01279902458190918, 0.1292724609375, 0.0009913444519042969
crimes, 62.26788949966431, 0.07988595962524414, 0.8017528057098389, 0.007775545120239258
boston, 79.60444688796997, 0.12412762641906738, 0.17365670204162598, 0.0011894702911376953
concrete, 117.34764337539673, 0.042829275131225586, 0.4378688335418701, 0.0009875297546386719
random, 201.45617508888245, 0.2182300090789795, 0.4958829879760742, 0.0010135173797607422
mpg, 30.618650913238525, 0.009851694107055664, 0.13735032081604004, 0.0009095668792724609
wisconsin, 39.22323513031006, 0.06928133964538574, 0.0863487720489502, 0.0012149810791015625
fires, 51.91443347930908, 0.04313850402832031, 0.13770675659179688, 0.0010113716125488281
crimes, 73.56341910362244, 0.03541421890258789, 0.8107531070709229, 0.0060656070709228516
boston, 71.33871078491211, 0.1285853385925293, 0.19462156295776367, 0.0010042190551757812
concrete, 125.36749315261841, 0.16584110260009766, 0.48682737350463867, 0.0010707378387451172
random, 183.50906348228455, 0.1946430206298828, 0.5026154518127441, 0.0010285377502441406
mpg, 27.53671383857727, 0.013689756393432617, 0.1371777057647705, 0.001096963882446289
wisconsin, 46.816667556762695, 0.06863951683044434, 0.08657026290893555, 0.0011687278747558594
fires, 49.34545159339905, 0.044165611267089844, 0.13218021392822266, 0.0009655952453613281
crimes, 81.1989004611969, 0.18841242790222168, 0.987006425857544, 0.02106499671936035
boston, 78.98788905143738, 0.01667022705078125, 0.17894721031188965, 0.00115203857421875
concrete, 131.50586652755737, 0.016096115112304688, 0.500969409942627, 0.001096963882446289
random, 151.9467797279358, 0.1725928783416748, 0.4791731834411621, 0.0010190010070800781
mpg, 27.829676628112793, 0.023190021514892578, 0.13386988639831543, 0.0009160041809082031
wisconsin, 38.10797095298767, 0.0059871673583984375, 0.0851144790649414, 0.001163482666015625
fires, 53.52110934257507, 0.08666324615478516, 0.14002537727355957, 0.0009603500366210938
crimes, 72.59134101867676, 0.04746103286743164, 0.7836627960205078, 0.007703304290771484
boston, 76.72875261306763, 0.12383699417114258, 0.27539825439453125, 0.000993490219116211
concrete, 147.48103260993958, 0.2086353302001953, 0.488131046295166, 0.0010783672332763672
random, 157.17831945419312, 0.18396544456481934, 0.5274829864501953, 0.0010526180267333984
mpg, 35.60929489135742, 0.004770755767822266, 0.1485450267791748, 0.00091552734375
wisconsin, 34.659695625305176, 0.011651039123535156, 0.08331108093261719, 0.0011332035064697266
